review_date,ticker,action,conviction,conviction_bucket,price_at_decision,forward_5d_pct,forward_20d_pct,forward_60d_pct
2025-08-14,INTC,initiate,50.0,medium,23.86,6.08,0.59,55.99
2025-08-21,INTC,hold,0.0,low,23.5,3.62,5.4,62.13
2025-08-28,CRWD,initiate,50.1,medium,442.0,-6.45,0.79,19.84
2025-08-28,NVDA,initiate,50.0,medium,180.14,-5.21,-5.48,6.29
2025-08-28,AMD,initiate,50.0,medium,168.58,-3.71,-5.59,54.03
2025-08-28,QCOM,initiate,50.0,medium,158.06,-1.26,3.36,17.38
2025-08-28,INTC,hold,0.0,low,24.93,-2.89,-0.12,58.6
2025-09-04,CRM,initiate,50.3,medium,243.19,3.3,0.95,7.29
2025-09-04,AVGO,initiate,50.0,medium,304.99,9.99,11.04,18.64
2025-09-04,GOOGL,initiate,50.0,medium,231.78,3.25,6.48,22.24
2025-09-04,NVDA,hold,0.0,low,171.63,-0.52,3.1,20.52
2025-09-04,AMD,hold,0.0,low,161.79,-3.69,-0.56,60.49
2025-09-04,CRWD,hold,0.0,low,412.46,2.68,15.49,33.81
2025-09-04,QCOM,hold,0.0,low,157.88,-0.66,8.67,13.16
2025-09-04,INTC,hold,0.0,low,24.61,-0.69,26.86,60.5
2025-09-11,TSLA,initiate,50.0,medium,368.81,14.32,24.58,20.72
2025-09-11,AVGO,hold,0.0,low,358.33,0.1,-7.14,-0.17
2025-09-11,NVDA,hold,0.0,low,177.15,-1.29,5.68,12.35
2025-09-11,AMD,hold,0.0,low,155.67,3.08,5.36,56.73
2025-09-11,CRWD,hold,0.0,low,433.38,2.68,15.36,28.65
2025-09-11,QCOM,hold,0.0,low,159.66,1.63,3.08,6.23
2025-09-11,CRM,hold,0.0,low,245.46,-2.83,-4.13,-1.68
2025-09-11,INTC,hold,0.0,low,24.61,2.68,46.04,56.24
2025-09-11,GOOGL,hold,0.0,low,240.04,4.49,1.88,20.69
2025-09-18,AVGO,hold,0.0,low,344.1,-1.69,0.21,-0.61
2025-09-18,TSLA,hold,0.0,low,416.85,2.16,5.24,-1.9
2025-09-18,NVDA,hold,0.0,low,176.22,1.24,7.3,5.88
2025-09-18,AMD,hold,0.0,low,157.92,1.89,49.16,52.3
2025-09-18,CRWD,hold,0.0,low,502.63,-3.69,1.46,5.4
2025-09-18,QCOM,hold,0.0,low,166.21,0.83,-0.21,-0.82
2025-09-18,CRM,hold,0.0,low,243.89,0.11,-1.58,-2.97
2025-09-18,INTC,hold,0.0,low,30.57,-4.02,22.44,13.54
2025-09-18,GOOGL,hold,0.0,low,251.69,-0.15,-2.94,13.09
2025-09-25,AVGO,hold,0.0,low,335.46,-1.84,4.53,12.45
2025-09-25,TSLA,hold,0.0,low,423.39,5.04,2.78,-1.33
2025-09-25,NVDA,hold,0.0,low,177.67,5.0,1.2,2.74
2025-09-25,AMD,hold,0.0,low,161.27,0.32,47.95,33.35
2025-09-25,CRWD,hold,0.0,low,473.09,3.65,3.37,7.13
2025-09-25,QCOM,hold,0.0,low,167.74,-1.96,-3.95,-2.72
2025-09-25,CRM,hold,0.0,low,240.56,-1.64,-1.81,-5.86
2025-09-25,INTC,hold,0.0,low,33.99,-1.29,9.3,5.3
2025-09-25,GOOGL,hold,0.0,low,245.46,-1.09,2.13,29.61
2025-10-02,MSFT,initiate,50.0,medium,513.6,1.6,0.93,-5.45
2025-10-02,NOW,initiate,50.0,medium,182.02,-0.64,2.81,-9.67
2025-10-02,AVGO,hold,0.0,low,337.53,-0.52,0.63,14.16
2025-10-02,TSLA,hold,0.0,low,436.0,-0.67,0.68,-1.34
2025-10-02,NVDA,hold,0.0,low,188.87,-2.04,-4.56,-4.75
2025-10-02,AMD,hold,0.0,low,169.73,24.62,35.64,29.48
2025-10-02,CRWD,hold,0.0,low,496.8,-2.45,0.67,1.48
2025-10-02,QCOM,hold,0.0,low,166.92,-2.01,0.25,-0.48
2025-10-02,CRM,hold,0.0,low,238.5,0.36,7.43,-2.53
2025-10-02,INTC,hold,0.0,low,37.3,-0.35,-1.02,7.27
2025-10-02,GOOGL,hold,0.0,low,245.36,0.03,2.44,28.17
2025-10-09,MSFT,hold,0.0,low,520.24,-1.69,3.67,-5.83
2025-10-09,AVGO,hold,0.0,low,344.36,-0.26,11.87,16.25
2025-10-09,TSLA,hold,0.0,low,435.54,-1.45,5.96,0.93
2025-10-09,NVDA,hold,0.0,low,192.55,-6.51,7.51,-3.64
2025-10-09,NOW,hold,0.0,low,183.59,-0.73,-0.68,-7.02
2025-10-09,AMD,hold,0.0,low,232.89,-6.35,13.5,-5.06
2025-10-09,CRWD,hold,0.0,low,509.13,-3.97,7.14,1.19
2025-10-09,QCOM,hold,0.0,low,163.77,-2.37,7.85,6.37
2025-10-09,CRM,hold,0.0,low,244.93,-2.27,2.5,5.79
2025-10-09,INTC,hold,0.0,low,37.8,-5.74,9.37,6.61
2025-10-09,GOOGL,hold,0.0,low,241.2,1.62,13.68,29.97
2025-10-16,MSFT,hold,0.0,low,509.49,1.18,-0.87,-7.02
2025-10-16,AVGO,hold,0.0,low,353.47,-3.24,1.36,-4.05
2025-10-16,TSLA,hold,0.0,low,428.75,3.23,7.77,10.86
2025-10-16,NVDA,hold,0.0,low,181.79,-0.36,7.37,-3.03
2025-10-16,NOW,hold,0.0,low,178.9,5.26,-1.66,-14.45
2025-10-16,AMD,hold,0.0,low,234.56,1.48,9.28,-11.5
2025-10-16,CRWD,hold,0.0,low,482.23,4.5,10.76,1.09
2025-10-16,QCOM,hold,0.0,low,162.2,2.89,9.53,9.81
2025-10-16,CRM,hold,0.0,low,245.6,7.08,2.72,3.49
2025-10-16,INTC,hold,0.0,low,36.84,3.47,4.18,1.82
2025-10-16,GOOGL,hold,0.0,low,251.12,-0.4,13.06,22.65
2025-10-23,MSFT,hold,0.0,low,518.4,4.13,-1.81,-6.67
2025-10-23,AVGO,hold,0.0,low,343.63,8.33,3.17,-0.64
2025-10-23,TSLA,hold,0.0,low,448.98,2.58,-4.09,8.85
2025-10-23,NVDA,hold,0.0,low,182.14,10.36,6.39,0.85
2025-10-23,NOW,hold,0.0,low,187.83,-0.13,-8.0,-16.59
2025-10-23,AMD,hold,0.0,low,234.99,9.8,10.17,-8.53
2025-10-23,CRWD,hold,0.0,low,521.98,4.78,4.57,-7.44
2025-10-23,QCOM,hold,0.0,low,168.09,6.47,3.91,2.99
2025-10-23,CRM,hold,0.0,low,254.64,-0.31,-3.54,3.92
2025-10-23,INTC,hold,0.0,low,38.16,8.83,-0.71,-4.69
2025-10-23,GOOGL,hold,0.0,low,252.74,5.69,13.29,22.48
2025-10-30,META,initiate,50.0,medium,665.93,-5.87,-11.43,-1.09
2025-10-30,AMZN,initiate,50.0,medium,222.86,11.87,-0.08,4.13
2025-10-30,AAPL,initiate,50.0,medium,270.88,-0.5,-0.95,0.97
2025-10-30,MSFT,hold,0.0,low,523.58,-2.17,-7.35,-7.18
2025-10-30,AVGO,hold,0.0,low,375.75,-6.52,-5.86,-7.02
2025-10-30,TSLA,hold,0.0,low,440.1,0.95,-8.2,4.44
2025-10-30,NVDA,hold,0.0,low,202.87,-2.07,-8.07,-7.23
2025-10-30,NOW,hold,0.0,low,186.94,-5.04,-12.65,-17.31
2025-10-30,AMD,hold,0.0,low,254.84,-1.88,-12.28,-15.39
2025-10-30,CRWD,hold,0.0,low,538.68,-0.88,-3.36,-11.65
2025-10-30,QCOM,hold,0.0,low,175.23,-2.49,-6.29,-1.66
2025-10-30,CRM,hold,0.0,low,256.24,-0.86,-11.21,3.9
2025-10-30,INTC,hold,0.0,low,40.16,-7.79,-12.57,-8.67
2025-10-30,GOOGL,hold,0.0,low,281.1,-1.4,4.03,11.47
2025-11-06,PLTR,initiate,50.1,medium,175.05,9.09,-5.3,1.54
2025-11-06,AMZN,hold,0.0,low,243.04,2.49,-5.71,-5.03
2025-11-06,MSFT,hold,0.0,low,495.04,2.33,-2.15,-2.53
2025-11-06,AAPL,hold,0.0,low,269.26,2.13,2.98,0.87
2025-11-06,META,hold,0.0,low,618.44,1.32,2.37,6.74
2025-11-06,AVGO,hold,0.0,low,354.91,-1.02,11.81,-2.48
2025-11-06,TSLA,hold,0.0,low,445.91,-1.41,-4.33,0.85
2025-11-06,NVDA,hold,0.0,low,188.06,2.7,-4.16,-0.83
2025-11-06,NOW,hold,0.0,low,171.75,0.22,-6.53,-10.81
2025-11-06,AMD,hold,0.0,low,237.7,-0.08,-9.87,-9.9
2025-11-06,CRWD,hold,0.0,low,532.52,4.55,-5.82,-11.97
2025-11-06,QCOM,hold,0.0,low,171.22,0.45,-4.65,-0.74
2025-11-06,CRM,hold,0.0,low,238.88,2.19,-4.65,10.89
2025-11-06,INTC,hold,0.0,low,37.24,1.72,-1.15,-0.91
2025-11-06,GOOGL,hold,0.0,low,284.36,2.3,12.36,9.99
2025-11-13,AMZN,hold,0.0,low,237.58,-6.33,-2.19,
2025-11-13,MSFT,hold,0.0,low,501.21,-1.89,-4.9,
2025-11-13,AAPL,hold,0.0,low,272.69,-2.02,4.1,
2025-11-13,META,hold,0.0,low,609.39,-2.0,4.87,
2025-11-13,AVGO,hold,0.0,low,339.33,0.15,11.95,
2025-11-13,TSLA,hold,0.0,low,401.99,-0.18,11.13,
2025-11-13,NVDA,hold,0.0,low,186.84,-2.94,-3.89,
2025-11-13,NOW,hold,0.0,low,169.94,-3.73,-1.98,
2025-11-13,AMD,hold,0.0,low,247.96,-7.13,-12.24,
2025-11-13,CRWD,hold,0.0,low,529.78,-3.04,-1.06,
2025-11-13,QCOM,hold,0.0,low,172.51,-5.41,0.33,
2025-11-13,PLTR,hold,0.0,low,172.14,-2.79,2.29,
2025-11-13,CRM,hold,0.0,low,240.04,-2.88,-0.71,
2025-11-13,INTC,hold,0.0,low,35.91,-4.4,21.86,
2025-11-13,GOOGL,hold,0.0,low,278.19,2.05,14.74,
2025-11-20,AMZN,hold,0.0,low,217.14,5.77,6.74,
2025-11-20,MSFT,hold,0.0,low,477.34,-0.3,0.03,
2025-11-20,AAPL,hold,0.0,low,266.0,4.03,4.71,
2025-11-20,META,hold,0.0,low,588.67,7.99,10.35,
2025-11-20,AVGO,hold,0.0,low,346.16,11.02,19.07,
2025-11-20,TSLA,hold,0.0,low,395.23,6.12,14.22,
2025-11-20,NVDA,hold,0.0,low,180.62,-1.56,1.74,
2025-11-20,NOW,hold,0.0,low,160.09,3.1,6.63,
2025-11-20,AMD,hold,0.0,low,206.02,0.05,7.48,
2025-11-20,CRWD,hold,0.0,low,501.31,2.2,3.64,
2025-11-20,QCOM,hold,0.0,low,157.77,2.32,14.76,
2025-11-20,PLTR,hold,0.0,low,155.75,5.01,20.65,
2025-11-20,CRM,hold,0.0,low,225.01,3.88,17.23,
2025-11-20,INTC,hold,0.0,low,33.62,6.57,21.3,
2025-11-20,GOOGL,hold,0.0,low,289.06,11.74,10.7,
2025-11-27,AMZN,hold,0.0,low,229.16,2.3,-3.44,
2025-11-27,MSFT,hold,0.0,low,484.39,0.93,-1.93,
2025-11-27,AAPL,hold,0.0,low,277.29,3.11,-2.06,
2025-11-27,META,hold,0.0,low,633.09,2.13,2.59,
2025-11-27,AVGO,hold,0.0,low,396.81,-4.02,-18.0,
2025-11-27,TSLA,hold,0.0,low,426.58,0.62,9.54,
2025-11-27,NVDA,hold,0.0,low,180.24,0.67,-5.16,
2025-11-27,NOW,hold,0.0,low,160.54,2.7,-2.53,
2025-11-27,AMD,hold,0.0,low,214.24,0.47,-7.53,
2025-11-27,CRWD,hold,0.0,low,501.54,2.99,-6.28,
2025-11-27,QCOM,hold,0.0,low,163.25,3.37,4.89,
2025-11-27,PLTR,hold,0.0,low,165.77,2.97,6.95,
2025-11-27,CRM,hold,0.0,low,227.78,2.88,13.14,
2025-11-27,INTC,hold,0.0,low,36.81,18.09,-2.06,
2025-11-27,GOOGL,hold,0.0,low,319.52,-1.29,-7.2,
2025-12-04,AMZN,hold,0.0,low,229.11,-0.52,1.43,
2025-12-04,MSFT,hold,0.0,low,479.75,2.33,1.49,
2025-12-04,AAPL,hold,0.0,low,280.44,-1.25,-2.45,
2025-12-04,META,hold,0.0,low,660.99,-0.69,0.99,
2025-12-04,AVGO,hold,0.0,low,380.3,6.63,-7.91,
2025-12-04,TSLA,hold,0.0,low,454.53,-2.06,6.79,
2025-12-04,NVDA,hold,0.0,low,183.37,0.87,2.85,
2025-12-04,NOW,hold,0.0,low,167.77,1.91,-9.05,
2025-12-04,AMD,hold,0.0,low,215.98,2.61,-0.44,
2025-12-04,CRWD,hold,0.0,low,513.12,0.95,-7.02,
2025-12-04,QCOM,hold,0.0,low,173.24,0.95,0.24,
2025-12-04,PLTR,hold,0.0,low,177.92,2.2,9.13,
2025-12-04,CRM,hold,0.0,low,247.06,5.48,7.37,
2025-12-04,INTC,hold,0.0,low,40.5,0.0,-10.72,
2025-12-04,GOOGL,hold,0.0,low,317.19,-0.1,-1.05,
2025-12-11,AMZN,hold,0.0,low,230.28,-3.35,0.23,
2025-12-11,MSFT,hold,0.0,low,482.37,-1.46,0.03,
2025-12-11,AAPL,hold,0.0,low,277.77,-1.23,-2.22,
2025-12-11,META,hold,0.0,low,652.18,0.76,1.21,
2025-12-11,AVGO,hold,0.0,low,405.59,-16.01,-14.67,
2025-12-11,TSLA,hold,0.0,low,446.89,9.62,0.63,
2025-12-11,NVDA,hold,0.0,low,180.92,-1.77,3.08,
2025-12-11,NOW,hold,0.0,low,173.5,-9.96,-11.71,
2025-12-11,AMD,hold,0.0,low,221.43,-5.54,-3.28,
2025-12-11,CRWD,hold,0.0,low,517.65,-5.63,-9.44,
2025-12-11,QCOM,hold,0.0,low,180.11,-2.84,-5.64,
2025-12-11,PLTR,hold,0.0,low,187.54,0.11,-5.22,
2025-12-11,CRM,hold,0.0,low,261.93,-2.84,1.14,
2025-12-11,INTC,hold,0.0,low,39.51,-5.57,-6.61,
2025-12-11,GOOGL,hold,0.0,low,312.21,-1.88,0.18,
2025-12-18,AMZN,hold,0.0,low,226.76,2.37,,
2025-12-18,MSFT,hold,0.0,low,482.88,0.59,,
2025-12-18,AAPL,hold,0.0,low,271.94,0.06,,
2025-12-18,META,hold,0.0,low,664.45,0.07,,
2025-12-18,AVGO,hold,0.0,low,329.25,6.1,,
2025-12-18,TSLA,hold,0.0,low,483.37,0.45,,
2025-12-18,NVDA,hold,0.0,low,174.13,8.65,,
2025-12-18,NOW,hold,0.0,low,153.38,0.64,,
2025-12-18,AMD,hold,0.0,low,201.06,6.88,,
2025-12-18,CRWD,hold,0.0,low,477.26,0.33,,
2025-12-18,QCOM,hold,0.0,low,173.08,0.32,,
2025-12-18,PLTR,hold,0.0,low,185.69,4.55,,
2025-12-18,CRM,hold,0.0,low,257.85,2.16,,
2025-12-18,INTC,hold,0.0,low,36.28,0.19,,
2025-12-18,GOOGL,hold,0.0,low,302.25,3.93,,
2025-12-25,AMZN,hold,0.0,low,232.38,0.06,,
2025-12-25,MSFT,hold,0.0,low,486.91,-0.11,,
2025-12-25,AAPL,hold,0.0,low,273.55,-0.27,,
2025-12-25,META,hold,0.0,low,667.55,-0.24,,
2025-12-25,AVGO,hold,0.0,low,350.22,-0.11,,
2025-12-25,TSLA,hold,0.0,low,485.4,-6.38,,
2025-12-25,NVDA,hold,0.0,low,188.6,-0.57,,
2025-12-25,NOW,hold,0.0,low,152.59,1.07,,
2025-12-25,AMD,hold,0.0,low,215.04,0.14,,
2025-12-25,CRWD,hold,0.0,low,477.11,-0.31,,
2025-12-25,QCOM,hold,0.0,low,173.66,-0.64,,
2025-12-25,PLTR,hold,0.0,low,194.17,-6.87,,
2025-12-25,CRM,hold,0.0,low,265.26,0.25,,
2025-12-25,INTC,hold,0.0,low,36.16,3.15,,
2025-12-25,GOOGL,hold,0.0,low,313.87,-0.08,,
2026-01-01,AMZN,hold,0.0,low,230.82,,,
2026-01-01,MSFT,hold,0.0,low,482.52,,,
2026-01-01,AAPL,hold,0.0,low,271.61,,,
2026-01-01,META,hold,0.0,low,660.09,,,
2026-01-01,AVGO,hold,0.0,low,346.1,,,
2026-01-01,TSLA,hold,0.0,low,449.72,,,
2026-01-01,NVDA,hold,0.0,low,186.49,,,
2026-01-01,NOW,hold,0.0,low,153.19,,,
2026-01-01,AMD,hold,0.0,low,214.16,,,
2026-01-01,CRWD,hold,0.0,low,468.76,,,
2026-01-01,QCOM,hold,0.0,low,169.96,,,
2026-01-01,PLTR,hold,0.0,low,177.75,,,
2026-01-01,CRM,hold,0.0,low,264.91,,,
2026-01-01,INTC,hold,0.0,low,36.9,,,
2026-01-01,GOOGL,hold,0.0,low,312.78,,,
