trade_date,ticker,action,shares,price,notional,reason
2024-07-31,SPY,initiate,1756.2301,540.93,950000.0,Core position: 95% allocation to SPY
2024-08-01,NVDA,initiate,180.5827,109.16,19711.94,"All entry gates passed — conviction 50, thesis stable"
2024-08-01,AMD,initiate,148.7215,132.54,19711.55,"All entry gates passed — conviction 50, thesis stable"
2024-08-01,SPY,trim,-19.1724,533.27,10224.07,Sell core to fund satellite position
2024-08-01,AVGO,initiate,136.0914,144.84,19711.15,"All entry gates passed — conviction 50, thesis stable"
2024-08-01,SPY,trim,-37.0177,533.27,19740.49,Sell core to fund satellite position
2024-08-01,QCOM,initiate,124.9549,157.74,19710.55,"All entry gates passed — conviction 50, thesis forming"
2024-08-01,SPY,trim,-37.0341,533.27,19749.22,Sell core to fund satellite position
2024-08-01,INTC,initiate,682.7808,28.87,19709.77,"All entry gates passed — conviction 50, thesis stable"
2024-08-01,SPY,trim,-37.0326,533.27,19748.44,Sell core to fund satellite position
2024-08-01,MSFT,initiate,47.8901,411.55,19708.98,"All entry gates passed — conviction 50, thesis forming"
2024-08-01,SPY,trim,-37.0311,533.27,19747.64,Sell core to fund satellite position
2024-08-01,GOOGL,initiate,116.2351,169.55,19708.19,"All entry gates passed — conviction 50, thesis stable"
2024-08-01,SPY,trim,-37.0297,533.27,19746.85,Sell core to fund satellite position
2024-08-01,META,initiate,39.7886,495.3,19707.4,"All entry gates passed — conviction 50, thesis forming"
2024-08-01,SPY,trim,-37.0282,533.27,19746.06,Sell core to fund satellite position
2024-08-01,PLTR,initiate,755.6215,26.08,19706.61,"All entry gates passed — conviction 50, thesis forming"
2024-08-01,SPY,trim,-37.0267,533.27,19745.27,Sell core to fund satellite position
2024-08-01,CRWD,initiate,87.8861,224.22,19705.82,"All entry gates passed — conviction 50, thesis stable"
2024-08-08,NVDA,exit,-180.5827,104.92,18946.63,Trailing stop EXIT: -27.0% from 90-day peak (threshold -25%)
2024-08-08,CRWD,exit,-87.8861,240.52,21138.36,Trailing stop EXIT: -41.2% from 90-day peak (threshold -25%)
2024-08-08,AMD,exit,-148.7215,136.32,20273.72,Trailing stop EXIT: -30.1% from 90-day peak (threshold -25%)
2024-08-08,QCOM,exit,-124.9549,158.66,19824.74,Trailing stop EXIT: -31.3% from 90-day peak (threshold -25%)
2024-08-08,AVGO,exit,-136.0914,143.58,19539.54,Trailing stop EXIT: -25.3% from 90-day peak (threshold -25%)
2024-08-08,INTC,trim,-180.8825,20.49,3706.28,Stop-loss TRIM: position -34.2% below cost basis (threshold -20%)
2024-08-08,AMZN,initiate,116.268,165.8,19277.23,"All entry gates passed — conviction 50, thesis stable"
2024-08-08,CRM,initiate,78.0962,246.83,19276.84,"All entry gates passed — conviction 50, thesis forming"
2024-08-08,NOW,initiate,121.062,159.23,19276.46,"All entry gates passed — conviction 50, thesis stable"
2024-08-08,AAPL,initiate,91.0654,211.67,19276.07,"All entry gates passed — conviction 50, thesis stable"
2024-08-15,INTC,trim,-6.1437,20.69,127.11,Stop-loss TRIM: position -31.0% below cost basis (threshold -20%)
2024-08-15,AAPL,add,44.9784,223.25,10041.59,Winner with strong conviction and attractive valuation — add
2024-08-15,SPY,trim,-7.1894,543.15,3904.95,Sell core to fund satellite position
2024-08-15,NVDA,initiate,163.5411,122.8,20082.98,"All entry gates passed — conviction 50, thesis stable"
2024-08-15,SPY,trim,-37.0182,543.15,20106.49,Sell core to fund satellite position
2024-08-15,AMD,initiate,136.2819,147.36,20082.5,"All entry gates passed — conviction 50, thesis stable"
2024-08-15,SPY,trim,-37.0466,543.15,20121.89,Sell core to fund satellite position
2024-08-15,AVGO,initiate,122.7008,163.66,20081.7,"All entry gates passed — conviction 50, thesis stable"
2024-08-15,SPY,trim,-37.0451,543.15,20121.1,Sell core to fund satellite position
2024-08-15,QCOM,initiate,120.4433,166.72,20080.89,"All entry gates passed — conviction 50, thesis stable"
2024-08-15,SPY,trim,-37.0436,543.15,20120.29,Sell core to fund satellite position
2024-08-15,CRWD,initiate,77.0858,260.49,20080.09,"All entry gates passed — conviction 50, thesis stable"
2024-08-15,SPY,trim,-37.0422,543.15,20119.49,Sell core to fund satellite position
2024-08-15,TSLA,initiate,93.7671,214.14,20079.29,"All entry gates passed — conviction 50, thesis stable"
2024-08-22,CRWD,exit,-77.0858,267.64,20631.25,Trailing stop EXIT: -30.3% from 90-day peak (threshold -25%)
2024-08-22,INTC,trim,-20.2413,20.1,406.85,Stop-loss TRIM: position -25.8% below cost basis (threshold -20%)
2024-08-22,NVDA,add,81.4308,123.68,10071.4,Winner with strong conviction and attractive valuation — add
2024-08-22,TSLA,add,47.8083,210.66,10071.29,Winner with strong conviction and attractive valuation — add
2024-08-22,SPY,trim,-16.9469,546.24,9257.16,Sell core to fund satellite position
2024-08-22,AMZN,add,57.1805,176.13,10071.19,Winner with strong conviction and attractive valuation — add
2024-08-22,SPY,trim,-18.4722,546.24,10090.33,Sell core to fund satellite position
2024-08-22,AMD,add,66.3876,151.7,10071.0,Winner with strong conviction and attractive valuation — add
2024-08-22,SPY,trim,-18.4733,546.24,10090.96,Sell core to fund satellite position
2024-08-22,QCOM,add,61.9549,162.55,10070.8,Winner with strong conviction and attractive valuation — add
2024-08-22,SPY,trim,-18.473,546.24,10090.76,Sell core to fund satellite position
2024-08-22,MSFT,add,24.5179,410.75,10070.6,Winner with strong conviction and attractive valuation — add
2024-08-29,INTC,trim,-35.9568,20.13,723.81,Stop-loss TRIM: position -32.1% below cost basis (threshold -20%)
2024-08-29,SPY,trim,-17.0305,548.34,9338.44,Sell core to fund satellite position
2024-08-29,NVDA,add,85.4342,117.53,10041.37,Winner with strong conviction and attractive valuation — add
2024-08-29,SPY,trim,-18.3474,548.34,10060.55,Sell core to fund satellite position
2024-08-29,PLTR,add,323.9088,31.0,10041.17,Winner with strong conviction and attractive valuation — add
2024-08-29,SPY,trim,-36.6601,548.34,20102.04,Sell core to fund satellite position
2024-08-29,CRWD,initiate,73.9204,271.67,20081.94,"All entry gates passed — conviction 50, thesis stable"
2024-09-05,CRWD,exit,-73.9204,256.43,18955.4,Trailing stop EXIT: -33.9% from 90-day peak (threshold -25%)
2024-09-05,QCOM,exit,-182.3982,158.27,28867.52,Trailing stop EXIT: -27.2% from 90-day peak (threshold -25%)
2024-09-05,INTC,trim,-68.7566,19.4,1333.88,Stop-loss TRIM: position -32.7% below cost basis (threshold -20%)
2024-09-05,TSLA,add,42.9058,230.17,9875.64,Winner with strong conviction and attractive valuation — add
2024-09-12,INTC,trim,-144.964,19.36,2806.5,Stop-loss TRIM: position -32.0% below cost basis (threshold -20%)
2024-09-12,TSLA,add,44.1978,229.81,10157.09,Winner with strong conviction and attractive valuation — add
2024-09-12,AMZN,add,54.3154,187.0,10156.99,Winner with strong conviction and attractive valuation — add
2024-09-12,AMD,add,67.3668,150.77,10156.89,Winner with strong conviction and attractive valuation — add
2024-09-12,MSFT,add,24.0646,422.06,10156.79,Winner with strong conviction and attractive valuation — add
2024-09-12,SPY,trim,-34.5973,549.06,18996.11,Sell core to fund satellite position
2024-09-12,QCOM,initiate,127.3533,159.5,20313.37,"All entry gates passed — conviction 50, thesis stable"
2024-09-12,SPY,trim,-37.0666,549.06,20351.89,Sell core to fund satellite position
2024-09-12,CRWD,initiate,79.0065,257.1,20312.58,"All entry gates passed — conviction 50, thesis stable"
2024-09-19,CRWD,exit,-79.0065,277.38,21914.83,Trailing stop EXIT: -31.9% from 90-day peak (threshold -25%)
2024-09-19,INTC,trim,-225.8359,21.14,4774.17,Stop-loss TRIM: position -28.0% below cost basis (threshold -20%)
2024-09-19,TSLA,add,42.8284,243.92,10446.7,Winner with strong conviction and attractive valuation — add
2024-09-19,AMZN,add,55.0197,189.87,10446.6,Winner with strong conviction and attractive valuation — add
2024-09-19,SPY,trim,-8.4514,560.74,4739.04,Sell core to fund satellite position
2024-09-19,QCOM,add,62.1271,168.15,10446.49,Winner with strong conviction and attractive valuation — add
2024-09-19,SPY,trim,-18.6567,560.74,10461.53,Sell core to fund satellite position
2024-09-19,MSFT,add,24.0911,433.62,10446.34,Winner with strong conviction and attractive valuation — add
2024-09-26,SPY,trim,-18.7772,563.76,10585.86,Sell core to fund satellite position
2024-09-26,NVDA,add,85.2075,123.99,10564.95,Winner with strong conviction and attractive valuation — add
2024-09-26,SPY,trim,-18.7773,563.76,10585.89,Sell core to fund satellite position
2024-09-26,AMD,add,63.0768,167.49,10564.74,Winner with strong conviction and attractive valuation — add
2024-09-26,SPY,trim,-18.7769,563.76,10585.68,Sell core to fund satellite position
2024-09-26,QCOM,add,63.2875,166.93,10564.53,Winner with strong conviction and attractive valuation — add
2024-09-26,SPY,trim,-18.7765,563.76,10585.47,Sell core to fund satellite position
2024-09-26,NOW,add,59.6948,176.97,10564.32,Winner with strong conviction and attractive valuation — add
2024-09-26,SPY,trim,-18.7762,563.76,10585.25,Sell core to fund satellite position
2024-09-26,MSFT,add,24.7796,426.32,10564.1,Winner with strong conviction and attractive valuation — add
2024-09-26,SPY,trim,-37.5141,563.76,21148.93,Sell core to fund satellite position
2024-09-26,INTC,initiate,883.2686,23.92,21127.79,"All entry gates passed — conviction 50, thesis stable"
2024-09-26,SPY,trim,-37.5501,563.76,21169.22,Sell core to fund satellite position
2024-09-26,CRWD,initiate,75.0566,281.48,21126.94,"All entry gates passed — conviction 50, thesis stable"
2024-10-03,CRWD,exit,-75.0566,283.75,21297.32,Trailing stop EXIT: -28.3% from 90-day peak (threshold -25%)
2024-10-03,INTC,exit,-883.2686,22.26,19661.56,Trailing stop EXIT: -35.4% from 90-day peak (threshold -25%)
2024-10-03,TSLA,add,43.3235,240.66,10426.24,Winner with strong conviction and attractive valuation — add
2024-10-03,AMD,add,64.023,162.85,10426.14,Winner with strong conviction and attractive valuation — add
2024-10-10,AMD,add,64.8561,164.18,10648.07,Winner with strong conviction and attractive valuation — add
2024-10-10,SPY,trim,-2.2982,567.53,1304.29,Sell core to fund satellite position
2024-10-10,QCOM,add,65.3544,162.93,10647.96,Winner with strong conviction and attractive valuation — add
2024-10-10,SPY,trim,-37.5443,567.53,21307.63,Sell core to fund satellite position
2024-10-10,INTC,initiate,917.1267,23.22,21295.68,"All entry gates passed — conviction 50, thesis stable"
2024-10-10,SPY,trim,-37.5968,567.53,21337.43,Sell core to fund satellite position
2024-10-10,CRWD,initiate,67.6198,314.92,21294.83,"All entry gates passed — conviction 50, thesis stable"
2024-10-17,INTC,exit,-917.1267,22.44,20580.32,Trailing stop EXIT: -35.6% from 90-day peak (threshold -25%)
2024-10-17,QCOM,add,63.9862,165.42,10584.65,Winner with strong conviction and attractive valuation — add
2024-10-24,SPY,trim,-20.077,570.6,11455.85,Sell core to fund satellite position
2024-10-24,INTC,initiate,956.9259,22.34,21377.72,"All entry gates passed — conviction 50, thesis stable"
2024-11-14,SPY,trim,-16.8436,584.5,9845.04,Sell core to fund satellite position
2024-11-14,TSLA,add,31.5322,311.18,9812.2,Winner with strong conviction and attractive valuation — add
2024-11-21,SPY,trim,-19.3419,584.81,11311.36,Sell core to fund satellite position
2024-11-21,INTC,add,462.0175,24.44,11291.71,Winner with strong conviction and attractive valuation — add
2024-11-21,SPY,trim,-19.3466,584.81,11314.08,Sell core to fund satellite position
2024-11-21,AMZN,add,56.9184,198.38,11291.48,Winner with strong conviction and attractive valuation — add
2024-11-21,SPY,trim,-19.3462,584.81,11313.86,Sell core to fund satellite position
2024-11-21,PLTR,add,184.0165,61.36,11291.26,Winner with strong conviction and attractive valuation — add
2024-11-29,SPY,trim,-19.3536,593.56,11487.48,Sell core to fund satellite position
2024-11-29,CRWD,add,33.1383,345.97,11464.87,Winner with strong conviction and attractive valuation — add
2024-11-29,SPY,trim,-3.3449,593.56,1985.37,Sell core to fund satellite position
2024-11-29,TSLA,add,-5.6855,345.16,1962.42,Winner with strong conviction and attractive valuation — add
2024-12-05,SPY,trim,-19.7259,597.61,11788.34,Sell core to fund satellite position
2024-12-05,AVGO,add,69.9404,168.49,11784.39,Winner with strong conviction and attractive valuation — add
2024-12-12,SPY,trim,-20.1371,595.31,11987.86,Sell core to fund satellite position
2024-12-12,PLTR,add,163.4466,73.2,11964.29,Winner with strong conviction and attractive valuation — add
2024-12-19,INTC,exit,-1418.9434,19.06,27045.06,Trailing stop EXIT: -26.4% from 90-day peak (threshold -25%)
2024-12-19,AMD,trim,-197.6968,118.88,23502.19,Stop-loss TRIM: position -22.0% below cost basis (threshold -20%)
2024-12-19,TSLA,add,-74.7285,436.17,32594.32,Winner with strong conviction and attractive valuation — add
2024-12-19,AMZN,add,49.7051,223.29,11098.65,Winner with strong conviction and attractive valuation — add
2024-12-19,SPY,trim,-7.5559,577.35,4362.44,Sell core to fund satellite position
2024-12-19,PLTR,add,149.5558,74.21,11098.54,Winner with strong conviction and attractive valuation — add
2024-12-19,SPY,trim,-19.2496,577.35,11113.84,Sell core to fund satellite position
2024-12-19,AVGO,add,51.4322,215.79,11098.38,Winner with strong conviction and attractive valuation — add
2024-12-26,AMD,exit,-264.2953,125.06,33052.78,Trailing stop EXIT: -26.9% from 90-day peak (threshold -25%)
2024-12-26,NVDA,add,82.8796,139.88,11593.55,Winner with strong conviction and attractive valuation — add
2024-12-26,CRWD,add,31.7559,365.08,11593.44,Winner with strong conviction and attractive valuation — add
2024-12-26,SPY,trim,-22.5441,594.36,13399.3,Sell core to fund satellite position
2024-12-26,INTC,initiate,1134.3758,20.44,23186.64,"All entry gates passed — conviction 50, thesis stable"
